;date;type;registration;operator;fatalities;location;country;cat;corrected_year
61;1919-08-02;CAPRONI CA.48;UNREG.;CAPRONI;14;VERONA;ITALY;A1;1919
62;1919-08-11;FELIXSTOWE FURY;N123;RAF;1;NEAR FELIXTOWE RNAS;U.K.;A1;1919
63;1920-02-23;HANDLEY PAGE O/7;G-EANV;HANDLEY PAGE TRANSPORT;0;ACADIA SIDING, C...;SOUTH AFRICA;A1;1920
64;1920-02-25;HANDLEY PAGE O/400;G-EAMC;HANDLEY PAGE TRANSPORT;0;NEAR EL SHEREIK;SUDAN;A1;1920
65;1920-06-30;HANDLEY PAGE O/400;G-EAKE;HANDLEY PAGE TRANSPORT;0;ÃSTANÃ¥;SWEDEN;A1;1920
66;1920-12-14;HANDLEY PAGE O/400;G-EAMA;HANDLEY PAGE TRANSPORT;4;GOLDERS GREEN;U.K.;A1;1920
67;1921-01-15;AEROMARINE 75;UNREG.;AEROMARINE AIRWAYS;0;HAVANA HARBOUR;CUBA;O1;1921
68;1921-03-02;HANDLEY PAGE O/7;G-IAAC;HP INDO-BURMESE TRANSPORT;0;MEERUT;INDIA;O1;1921
69;1921-03-04;CAPRONI CA.60 NOVIPLANO;UNREG.;CAPRONI;0;LAGO MAGGIORE;ITALY;A1;1921
70;1921-08-26;FARMAN F.60 GOLIATH;O-BLAN;SNETA;2;NEAR CALAIS [THE ENGL...;FRANCE;A1;1921
71;1921-09-27;FARMAN F.60 GOLIATH;O-BRUN;SNETA;0;EVERE AIRFIELD;BELGIUM;O1;1921
72;1921-09-27;FARMAN F.60 GOLIATH;O-BLEU;SNETA;0;EVERE AIRFIELD;BELGIUM;O1;1921
73;1921-12-30;HANDLEY PAGE O/10;G-EATM;HANDLEY PAGE TRANSPORT;0;BERCK-SUR-MER;FRANCE;U1;1921
74;1922-01-22;HANDLEY PAGE O/10;G-EATN;HANDLEY PAGE TRANSPORT;0;NEAR SENLIS;FRANCE;A1;1922
75;1922-03-31;HANDLEY PAGE O/7;UNREG.;CHINESE GOVERNMENT;14;NEAR BEIJING-NANYUAN ...;CHINA;A1;1922
76;1922-04-07;FARMAN F.60 GOLIATH;F-GEAD;GRANDS EXPRESS AÃ©RIENS;5;THIEULOY-SAINT-A...;FRANCE;A1;1922
77;1923-01-13;AEROMARINE 75;UNREG.;AEROMARINE AIRWAYS;4;NEAR HAVANA, CUBA;ATLANTIC OCEAN;A1;1923
78;1923-05-14;FARMAN F.60 GOLIATH;F-AEBY;AIR UNION;6;MONSURES, SOMME;FRANCE;A1;1923
79;1923-06-25;FARMAN F.60 GOLIATH;F-AEDL;AIR UNION;0;NEAR ÃTAPLES;FRANCE;A1;1923
80;1923-07-10;HANDLEY PAGE W.8;G-EAPJ;HANDLEY PAGE TRANSPORT;0;POIX;FRANCE;A1;1923
81;1923-07-15;FARMAN F.60 GOLIATH;F-AEEE;COMPAGNIE AÃ©RIENNE FRANÃ§AISE;0;NEAR VALENCIENNES;FRANCE;A1;1923
82;1923-08-27;FARMAN F.60 GOLIATH;F-AECB;AIR UNION;1;EAST MALLING, KENT;U.K.;A1;1923
83;1923-12-03;FARMAN F.60 GOLIATH;F-AEIF;AIR UNION;0;LITTLESTONE, KENT;U.K.;A1;1923
85;1924-01-22;FARMAN F.60 GOLIATH;F-GEAO;AIR UNION;0;LONDON-CROYDON A...;U.K.;A1;1924
86;1924-08-06;FARMAN F.60 GOLIATH;F-ADDT;AIR UNION;0;GOLDEN GREEN, NE...;U.K.;A2;1924
87;1924-08-24;FARMAN F.61 GOLIATH;F-ADFP;SGTA;0;NEAR AMSTERDAM-SCHIPH...;NETHERLANDS;A1;1924
88;1925-10-16;FARMAN F.60 GOLIATH;F-HMFU;AIR UNION;3;WADHURST, EAST S...;U.K.;A1;1925
89;1925-11-14;FARMAN F.60 GOLIATH;F-FHMY;AIR UNION;0;NEAR BOULOGNE [ENGLIS...;FRANCE;A2;1925
90;1926-08-18;BLÃ©RIOT 155;F-AIEB;AIR UNION;4;HURST, NEAR ASHF...;U.K.;A1;1926
91;1926-10-02;BLÃ©RIOT 155;F-AICQ;AIR UNION;7;LEIGH, KENT;U.K.;A1;1926
92;1926-10-21;HANDLEY PAGE W.10;G-EBMS;IMPERIAL AIRWAYS;0;ENGLISH CHANNEL;U.K.;A1;1926
93;1926-11-20;JUNKERS G.24;D-944;DEUTSCHE LUFTHANSA;0;KÃ¶NIGSBERG;GERMANY;A1;1926
94;1927-05-05;FARMAN F.61 GOLIATH;F-ADFN;SGTA;2;ATLANTIC OCEAN;ATLANTIC OCEAN;A1;1927
95;1927-08-22;FOKKER F.VIII;H-NADU;KLM;1;ST. JULIANS, SEV...;U.K.;A1;1927
96;1928-02-15;HANDLEY PAGE W.8B;G-EBBG;IMPERIAL AIRWAYS;0;NEAR ABBEVILLE;FRANCE;A1;1928
97;1928-03-11;FARMAN F.60 GOLIATH;F-AEFC;AIR UNION;2;NEAR FOLKESTONE, KENT...;U.K.;A1;1928
98;1928-04-11;FOKKER F.VIII;H-NAEE;KLM;0;NIGTEVECHT;NETHERLANDS;A1;1928
99;1928-04-19;JUNKERS G.24;D-946;DEUTSCHE LUFTHANSA;0;SPAICHINGEN;GERMANY;A1;1928
100;1928-05-12;FORD 4-AT-A TRI-MOTOR;NC1492;FORD AIR FREIGHT LINES;2;DEARBORN, MI;USA;A1;1928
101;1928-05-23;FARMAN F.63BIS GOLIATH;F-AEIE;SGTA;3;NEAR KÃ¶LN-BUTZWEILER...;GERMANY;A1;1928
102;1928-08-25;FORD 4-AT-B TRI-MOTOR;G-CATX;BRITISH COLUMBIA AIRWAYS;7;NEAR PORT TOWNSEND, WA;USA;A1;1928
103;1928-09-25;JUNKERS G.31DE;D-1427;DEUTSCHE LUFTHANSA;0;ARNSBERG;GERMANY;A1;1928
104;1928-10-13;FORD 4-AT-A TRI-MOTOR;NC880;STOUT AIR SERVICES;0;DETROIT, MI;USA;A1;1928
105;1928-11-23;FORD 4-AT-B TRI-MOTOR;NC7687;SPOKANE AIRWAYS;3;MORAN PRAIRIE, S...;USA;A1;1928
106;1928-12-01;FORD 4-AT-C TRI-MOTOR;NC7862;SUNBEAM AIR TRANSPORT CO.;5;NEAR SPUR, TX;USA;A1;1928
107;1928-12-11;JUNKERS G.31FI;D-1473;DEUTSCHE LUFTHANSA;3;LETZLINGEN;GERMANY;A1;1928
108;1928-12-22;FORD 4-AT-A TRI-MOTOR;NC3443;TEXACO;0;FLORESVILLE, TX;USA;A1;1928
110;1929-01-16;FORD 4-AT-A TRI-MOTOR;NC1076;STOUT AIR SERVICES;0;NEAR TOLEDO, OH;USA;A1;1929
112;1929-03-17;FORD 4-AT-B TRI-MOTOR;NC7683;COLONIAL WESTERN AIRLINES;14;NEAR NEWARK AIRPORT, ...;USA;A1;1929
113;1929-03-19;FORD 5-AT-B TRI-MOTOR;NC9674;FORD MOTOR COMPANY;4;DEARBORN, MI;USA;A1;1929
114;1929-04-12;DORNIER DO R4 SUPERWAL;I-RIDE;SANA;0;NEAR NAPOLI;ITALY;O1;1929
115;1929-04-21;FORD 5-AT-B TRI-MOTOR;NC9636;MADDUX AIRLINES;6;NEAR SAN DIEGO AIRPOR...;USA;A1;1929
116;1929-05-16;VICKERS 170 VANGUARD;G-EBCP;VICKERS-ARMSTRONGS;2;SHEPPERTON;U.K.;A1;1929
117;1929-05-19;FARMAN F.63BIS GOLIATH;F-GEAI;AIR UNION;0;PADDOCK WOOD, KENT;U.K.;A1;1929
118;1929-06-02;FOKKER F.10A;NC393E;WESTERN AIR EXPRESS;0;WICHITA, KS;USA;O1;1929
119;1929-06-13;FOKKER F.10A;NC9700;PAN AM;2;SANTIAGO AIRPORT...;CUBA;A1;1929
120;1929-06-17;HANDLEY PAGE W.10;G-EBMT;IMPERIAL AIRWAYS;7;NEAR DUNGENESS;U.K.;A1;1929
121;1929-06-24;FORD 5-AT-A TRI-MOTOR;NC7416;NORTHWEST AIRWAYS;1;SAINT PAUL, MN;USA;A1;1929
122;1929-08-29;JUNKERS G.24LI;SE-AAF;AB AEROTRANSPORT;0;EMSLAND;GERMANY;A1;1929
123;1929-09-03;FORD 5-AT-B TRI-MOTOR;NC9649;TRANSCONTINENTAL AIR TRANSPORT - TAT;8;NEAR GALLUP, NM;USA;A1;1929
124;1929-09-06;DH.66 HERCULES;G-EBMZ;IMPERIAL AIRWAYS;3;JASK AIRPORT;IRAN;A1;1929
125;1929-09-10;ROHRBACH RO X ROMAR I;D-1734;DEUTSCHE LUFTHANSA;0;NEAR GRÃ¶MITZ;GERMANY;A1;1929
126;1929-10-19;SABCA (HANDLEY PAGE) W.8B;OO-AHK;SABENA;0;EDEGEM;BELGIUM;A1;1929
127;1929-10-26;SHORT S.8/1 CALCUTTA;G-AADN;IMPERIAL AIRWAYS;7;NEAR LA SPEZIA;ITALY;A1;1929
129;1929-11-06;JUNKERS G.24BI;D-903;DEUTSCHE LUFTHANSA;7;NEAR GODSTONE, SURREY;U.K.;A1;1929
130;1929-11-18;ROHRBACH RO X ROMAR I;D-1693;DEUTSCHE LUFTHANSA;0;LÃ¼BECK-TRAVEMÃ¼...;GERMANY;A1;1929
131;1929-11-27;FOKKER F.32;NX124M;FOKKER AIRCRAFT CORP. OF AMERICA;0;NEAR HEMPSTEAD-ROOSEV...;USA;A1;1929
132;1929-12-04;CURTISS B-2 CONDOR (CONDOR 18);29-28;USAAC;1;GOODWATER, AL;USA;A1;1929
133;1929-12-12;FARMAN F.180T;F-AIVR;SGTA;0;TOUSSUS-LE-NOBLE;FRANCE;O1;1929
134;1929-12-26;FOKKER F.10;NC5358;WESTERN AIR EXPRESS;0;OAKLAND MUNICIPA...;USA;A1;1929
135;1930-01-19;FORD 5-AT-C TRI-MOTOR;NC9689;MADDUX AIRLINES;16;OCEANSIDE, CA;USA;A1;1930
136;1930-02-07;JUNKERS R-42 (G.24);J6;CHILEAN AF;2;NEAR PUNTA ARENAS;CHILE;A1;1930
137;1930-02-08;FORD 4-AT-A TRI-MOTOR;NC2492;PRIVATE;0;SAN MARCOS, TX;USA;A1;1930
138;1930-02-10;FARMAN F.63BIS GOLIATH;F-FHMY;AIR UNION;2;MARDEN, KENT;U.K.;A1;1930
139;1930-02-14;DH.66 HERCULES;G-EBNA;IMPERIAL AIRWAYS;0;GAZA;ISRAEL;A1;1930
140;1930-02-23;FOKKER F.10A;NC279E;WESTERN AIR EXPRESS;3;NEAR SAN BERNARDINO, CA;USA;A1;1930
141;1930-03-02;FORD 4-AT-A TRI-MOTOR;R-131;NYRBA;0;CORDOBA;ARGENTINA;A1;1930
142;1930-04-08;FORD 5-AT-C TRI-MOTOR;R-148;TRI-MOTOR SAFETY AIRWAYS;0;BUENOS AIRES;ARGENTINA;A1;1930
143;1930-05-31;HANDLEY PAGE W.9A HAMPSTEAD;VH-ULK;ELLYOU GOLDFIELDS DEVELOPMENT;0;MOUNT MISIM;P.N. GUINEA;A1;1930
144;1930-06-05;FORD 5-AT-B TRI-MOTOR;NC9675;COLONIAL AIR TRANSPORT;1;BOSTON, MA;USA;A1;1930
145;1930-06-25;FORD 5-AT-A TRI-MOTOR;NC7739;NORTHWEST AIRWAYS;0;CHICAGO MUNICIPA...;USA;O1;1930
146;1930-06-25;FOKKER F.10A;NC457E;UNIVERSAL AIRLINES;0;CHICAGO, IL;USA;O1;1930
147;1930-06-25;FOKKER F.10A;NC879E;UNIVERSAL AIRLINES;0;CHICAGO, IL;USA;O1;1930
148;1930-06-25;FOKKER F.10A;NC803E;UNIVERSAL AIRLINES;0;CHICAGO, IL;USA;O1;1930
149;1930-06-25;FOKKER F.10A;NC135E;UNIVERSAL AIRLINES;0;CHICAGO, IL;USA;O1;1930
150;1930-06-25;FOKKER F.10;NC8010;SHELL OIL;0;CHICAGO, IL;USA;O1;1930
151;1930-06-25;FOKKER F.10;NC5614;NORTHERN AIRLINES;0;CHICAGO, IL;USA;O1;1930
152;1930-07-09;FARMAN F.63BIS GOLIATH;F-ADFQ;SGTA;1;AALSMEER;NETHERLANDS;A1;1930
153;1930-07-12;CURTISS CONDOR 18;NC.....;CURTISS;0;VALLEY STREAM, NY;USA;A1;1930
154;1930-08-04;FORD JR-3 (5-AT-C) TRI-MOTOR;A8598;USMC;0;OCOTAL, NUEVA SE...;NICARAGUA;A1;1930
155;1930-08-22;FORD 5-AT-C TRI-MOTOR;OK-FOR;CSA;12;JIHLAVA (IGLAU);CZECH REP.;A1;1930
156;1930-09-03;FOKKER F.10A;NC810H;PAN AM;0;SANTO DOMINGO;DOMINICAN REP.;O1;1930
157;1930-10-30;HANDLEY PAGE W.8G;G-EBIX;IMPERIAL AIRWAYS;3;BOULOGNE, PARIS;FRANCE;A1;1930
158;1930-11-07;JUNKERS G.24;P-BAHA;SYNDICATO CONDOR;1;NEAR IGUAPE, SP;BRAZIL;A1;1930
159;1930-11-21;FORD 4-AT-B TRI-MOTOR;NC7118;CURTISS-WRIGHT FLYING SERVICE;0;BURBANK, CA;USA;O1;1930
